date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:04	25027/25027	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:05%20GMT	https://m.latindream.com/ficha/index/4584?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4584572f.html	(from https://m.latindream.com/)
20:59:04	14848/14848	---M--	200	added ('OK')	image/jpeg	etag:%223a00-5912130a-48000bc%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4584/activa/portada-4584-78372692.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4584/activa/portada-4584-78372692.jpg	(from https://m.latindream.com/)
20:59:04	29389/29389	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:05%20GMT	https://m.latindream.com/ficha/index/4582?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4582572f.html	(from https://m.latindream.com/)
20:59:04	22908/22908	---M--	200	added ('OK')	image/jpeg	etag:%2259a3-59137575-b990643%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4582/activa/portada-4582-677031309.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4582/activa/portada-4582-677031309.jpg	(from https://m.latindream.com/)
20:59:04	28172/28172	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:05%20GMT	https://m.latindream.com/ficha/index/4583?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4583572f.html	(from https://m.latindream.com/)
20:59:05	16443/16443	---M--	200	added ('OK')	image/jpeg	etag:%22403b-5915d09c-108caf23%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4583/activa/portada-4583-1639513177.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4583/activa/portada-4583-1639513177.jpg	(from https://m.latindream.com/)
20:59:05	31244/31244	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:06%20GMT	https://m.latindream.com/ficha/index/4580?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4580572f.html	(from https://m.latindream.com/)
20:59:05	20306/20306	---M--	200	added ('OK')	image/jpeg	etag:%224f8d-590cfc6b-f95adce%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4580/activa/portada-4580-1254622152.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4580/activa/portada-4580-1254622152.jpg	(from https://m.latindream.com/)
20:59:05	15844/15844	---M--	200	added ('OK')	image/jpeg	etag:%223de4-5914bfb1-2876cc2%22	https://planetaescort.cl/img/portadas/seccion/4501-4600/4565/activa/portada-4565-168600585.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4501-4600/4565/activa/portada-4565-168600585.jpg	(from https://m.latindream.com/)
20:59:05	31940/31940	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:06%20GMT	https://m.latindream.com/ficha/index/4565?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4565572f.html	(from https://m.latindream.com/)
